J02151.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Puerto Rico/8/1934(H1N1)	segment 2 (PB1)	
JQ922305.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 1 (PB2)	
JQ922306.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 2 (PB1)	
JQ922307.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 3 (P3)	
JQ922308.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 4 (HEF)	
JQ922309.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 5 (NP)	
JQ922310.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 6 (P42)	
JQ922311.1	Deltainfluenzavirus influenzae - Influenza D virus (IDV), strain D/swine/Oklahoma/1334/2011	segment 7 (NS)	
K00423.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 4 (HA)	
K01395.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 5 (NP)	
KF021594.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 1 (PB2)	
KF021595.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 2 (PB1)	
KF021596.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 3 (PA)	
KF021597.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 4 (HA)	
KF021598.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 5 (NP)	
KF021599.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 6 (NA)	
KF021600.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 7 (MP)	
KF021601.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Shanghai/02/2013(H7N9)	segment 8 (NS)	
L11133.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Korea/426/1968(H2N2)	segment 4 (HA)	
M14880.1	Betainfluenzavirus influenzae - Influenza B virus (IBV), strain B/Lee/1940	segment 2 (PB1)	
M25935.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Korea/426/1968(H2N2)	segment 2 (PB1)	
M26079.1	Alphainfluenzavirus influenzae - Influenza A virus (IAV), strain A/Korea/426/1968(H2N2)	segment 3 (PA)	
